SILICIO METALLICO,10001,ferroleghe
SILICIO 90,10002,ferroleghe
FERRO-SILICIO 75/2,10004,ferroleghe
FERRO-SILICIO 75/1.5,10004,ferroleghe
FERRO-SILICIO 75/1,10004,ferroleghe
FERRO-SILICIO 65,10005,ferroleghe
FERRO-SILICIO 70 NOCELLE,10004,ferroleghe
FERRO-SILICIO LC BTA,10004,ferroleghe
FERRO-SILICIO CROMO,10009,ferroleghe
SILICIURO DI CALCIO   SI-CA,10015,ferroleghe
SIC 95,10018,ferroleghe
SIC 90,10018,ferroleghe
FE-SI-MN 65/15,10036,ferroleghe
FE-SI-MN 60/14,10036,ferroleghe
FE-SI-MN NOCELLE 60/15,10031,ferroleghe
FERRO-MANGANESE 75,10030,ferroleghe
FERRO MANGANESE L C,10030,ferroleghe
FERRO MANGANESE PIRAMIDI,10030,ferroleghe
FERRO-CROMO 60/HC,10040,ferroleghe
FERRO-CROMO 60/MC,10040,ferroleghe
FERRO-CROMO LC AFFINATO,10041,ferroleghe
FERRO-CROMO SUPERAFFINATO,10041,ferroleghe
FE-Cr/HC NOCELLE,10041,ferroleghe
DEOXIDANT STEEL DEOX F,10012,disossidanti
DEOXIDANT STEEL DEOX D,10012,disossidanti
INOCULANT 6,10090,disossidanti
INOCULANT 7,10090,disossidanti
NODULIZZANTE 5,10091,disossidanti
NODULIZZANTE 10,10091,disossidanti
NODULIZZANTE 11,10091,disossidanti
FERRO ALLUMINIO,30006,disossidanti
Disossidante SICALU,10012,disossidanti
PREFUSE 1000,60001,prefuse
PREFUSE 800 SPINEL GRAVE,60001,prefuse
PREFUSE 600,60001,prefuse
PREFUSE ALMIX,60001,prefuse
CALCIO ALLUMINATO 50/50,60001,prefuse
CALCIO ALLUMINATO 70/30,60001,prefuse
SPINEL,60001,prefuse
ALU - PRESS,30002,metalli
ALLUMINIO SIDERURGICO,30003,metalli
NICHEL BRICCH.,30001,metalli
NICHEL CATODI,30001,metalli
FE-VANADIO,20001,metalli
FE-TITANIO 25,20002,metalli
FE-MOLIBDENO,20003,metalli
FE-NIOBIO,20004,metalli
COKE CALCINATO,40050,ricarburanti
GRAFITE,40050,ricarburanti
GRAFOIL,40050,ricarburanti
GRAFIX 93,40050,ricarburanti
GRAFIX 92NC,40050,ricarburanti
RICARB 85,40051,ricarburanti
SIDERCOKE,40050,ricarburanti
SIDERCOKE NOCELLE,40050,ricarburanti
ANTRACITE,40050,ricarburanti
FOSSILE BV,40050,ricarburanti
FOSSILE ANTRACITOSO,40050,ricarburanti
IRONFLUX 1/80C,40009,scorie
IRONFLUX 2,40009,scorie
IRONFLUX 3,40009,scorie
IRONFLUX 10,40009,scorie
PIROX® -S-,70021,scorie
PIROX® - MX,40014,scorie
CALBAMIX,60005,desolforanti
ESOSCOR "BM 5",60005,desolforanti
ESOSCOR "BM 6",60006,desolforanti
ESOSCOR "BM 10",60006,desolforanti
ESOSCOR "BM 12",60006,desolforanti
ESOSCOR "BM 13",60006,desolforanti
ESOSCOR "BM 15",60006,desolforanti
ESOSCOR "BM 3070",60006,desolforanti
SCORAL - NOCELLE,60061,desolforanti
SCORAL 1 - NOCELLE,60061,desolforanti
SPATOFLUORO 98E,70001,fluidificanti
FLUORITE,70001,fluidificanti
SPATOFLUORO 80,70001,fluidificanti
FLUIDSCOR 70,70001,fluidificanti
FLUIDSCOR 60,70001,fluidificanti
FLUIDSCOR 50,70001,fluidificanti
GRIT-SCORAL,60031,fluidificanti
ALLUMINA,60020,fluidificanti
BAUXITE CALCINATA,60001,fluidificanti
BASIC 811,60054,fluidificanti
OLIVINA,70017,fluidificanti
ZEROTHERM 1,60001,polveri
ZEROTHERM 2,60001,polveri
MICROTHERM,60015,polveri
MICROTHERM 1,60015,polveri
MICROTHERM 2,60015,polveri
CALCIO ALLUMINATO,60001,polveri
ATOMIX,60001,polveri
