"codice";"dogana"
47060;"MOBILI PER SEDERSI"
47065;"MOBILI PER SEDERSI"
47085;"TAVOLO  VETRO"
47090;"TAVOLO  VETRO"
47100;"MOBILI PER SEDERSI IMBOTTITI"
47101;"MOBILI PER SEDERSI IMBOTTITI"
47102;"MOBILI PER SEDERSI IMBOTTITI"
47104;"MOBILI PER SEDERSI IMBOTTITI"
47105;"MOBILI PER SEDERSI IMBOTTITI"
47106;"MOBILI PER SEDERSI IMBOTTITI"
47108;"TAVOLO  VETRO"
47109;"TAVOLO  VETRO"
47110;"TAVOLO  VETRO"
47115;"MOBILI PER SEDERSI IMBOTTITI"
47165;"MOBILI PER SEDERSI IMBOTTITI"
47170;"MOBILI PER SEDERSI IMBOTTITI"
47175;"MOBILI PER SEDERSI IMBOTTITI"
47081;"MOBILI PER SEDERSI IMBOTTITI"
47086;"MOBILI PER SEDERSI IMBOTTITI"
47088;"MOBILI PER SEDERSI IMBOTTITI"
47096;"TAVOLO  VETRO"
47120;"MOBILI PER SEDERSI IMBOTTITI"
;"MOBILI PER SEDERSI IMBOTTITI"
;"MOBILI PER SEDERSI IMBOTTITI"
48410;"MOBILI PER SEDERSI"
48411;"MOBILI PER SEDERSI"
48412;"MOBILI PER SEDERSI"
48430;"MOBILI PER SEDERSI"
48431;"MOBILI PER SEDERSI"
50200;"MOBILI PER SEDERSI"
50201;"MOBILI PER SEDERSI"
50220;"MOBILI PER SEDERSI"
50221;"MOBILI PER SEDERSI"
50230;"MOBILI PER SEDERSI IMBOTTITI"
50231;"MOBILI PER SEDERSI IMBOTTITI"
50250;"TAVOLO TEAK"
50260;"TAVOLO TEAK"
50261;"TAVOLO TEAK"
50265;"TAVOLO VETRO"
50852;"TAVOLO VETRO"
50266;"TAVOLO VETRO"
50860;"TAVOLO VETRO"
50270;"TAVOLO TEAK"
50271;"TAVOLO TEAK"
50272;"TAVOLO TEAK"
50276;"TAVOLO TEAK"
50277;"TAVOLO TEAK"
50280;"TAVOLO TEAK"
50281;"TAVOLO TEAK"
50295;"TAVOLO VETRO"
50296;"TAVOLO VETRO"
50286;"TAVOLO TEAK"
50290;"TAVOLO VETRO"
50291;"TAVOLO VETRO"
50310;"MOBILI PER SEDERSI IMBOTTITI"
50320;"MOBILI PER SEDERSI IMBOTTITI"
50330;"MOBILI PER SEDERSI IMBOTTITI"
50311;"MOBILI PER SEDERSI IMBOTTITI"
50321;"MOBILI PER SEDERSI IMBOTTITI"
50331;"MOBILI PER SEDERSI IMBOTTITI"
50339;"MOBILI PER SEDERSI "
50340;"MOBILI PER SEDERSI "
50341;"MOBILI PER SEDERSI "
50360;"MOBILI PER SEDERSI "
50361;"MOBILI PER SEDERSI "
50510;"MOBILI PER SEDERSI IMBOTTITI"
50511;"MOBILI PER SEDERSI IMBOTTITI"
50512;"MOBILI PER SEDERSI IMBOTTITI"
50513;"MOBILI PER SEDERSI IMBOTTITI"
50505;"MOBILI PER SEDERSI IMBOTTITI"
50506;"MOBILI PER SEDERSI IMBOTTITI"
50507;"MOBILI PER SEDERSI IMBOTTITI"
50508;"MOBILI PER SEDERSI IMBOTTITI"
50500;"MOBILI PER SEDERSI IMBOTTITI"
50501;"MOBILI PER SEDERSI IMBOTTITI"
50502;"MOBILI PER SEDERSI IMBOTTITI"
50503;"MOBILI PER SEDERSI IMBOTTITI"
50515;"TAVOLO VETRO"
50516;"TAVOLO VETRO"
50517;"TAVOLO VETRO"
50518;"TAVOLO VETRO"
50525;"MOBILI PER SEDERSI IMBOTTITI"
50526;"MOBILI PER SEDERSI IMBOTTITI"
50530;"MOBILI PER SEDERSI IMBOTTITI"
50531;"MOBILI PER SEDERSI IMBOTTITI"
50535;
50536;
50380;"MOBILI PER SEDERSI IMBOTTITI"
50385;"MOBILI PER SEDERSI IMBOTTITI"
50390;
50400;"MOBILI PER SEDERSI "
50401;"MOBILI PER SEDERSI "
50402;"MOBILI PER SEDERSI "
50420;"MOBILI PER SEDERSI "
50421;"MOBILI PER SEDERSI "
50422;"MOBILI PER SEDERSI "
50450;"TAVOLO VETRO"
50451;"MOBILI PER SEDERSI "
50452;"TAVOLO VETRO"
50655;
50656;
50660;"MOBILI PER SEDERSI "
50661;"MOBILI PER SEDERSI "
50690;"MOBILI PER SEDERSI "
50691;"MOBILI PER SEDERSI "
50010;"ALTRI MOBILI"
50236;"TAVOLO TEAK"
50237;"TAVOLO TEAK"
50243;"TAVOLO TEAK"
50244;"TAVOLO TEAK"
50246;"TAVOLO MARMO"
50248;"TAVOLO MARMO"
50247;"TAVOLO MARMO"
50268;"TAVOLO MARMO"
50269;"TAVOLO MARMO"
50240;"TAVOLO MARMO"
50241;"TAVOLO MARMO"
50273;"TAVOLO MARMO"
50274;"TAVOLO MARMO"
50278;"TAVOLO MARMO"
50279;"TAVOLO MARMO"
34170;"FIORIERE"
34171;"FIORIERE"
34180;"FIORIERE"
34181;"FIORIERE"
34210;"FIORIERE"
34211;"FIORIERE"
34220;"FIORIERE"
34221;"FIORIERE"
34250;"FIORIERE"
34251;"FIORIERE"
34260;"FIORIERE"
34261;"FIORIERE"
34270;"FIORIERE"
34290;"FIORIERE"
34291;"FIORIERE"
34300;"FIORIERE"
34301;"FIORIERE"
49103;"MOBILI PER SEDERSI IMBOTTITI"
49108;"MOBILI PER SEDERSI IMBOTTITI"
49113;"MOBILI PER SEDERSI IMBOTTITI"
49123;"TAVOLO VETRO"
49133;"MOBILI PER SEDERSI IMBOTTITI"
49137;"MOBILI PER SEDERSI IMBOTTITI"
49141;"MOBILI PER SEDERSI IMBOTTITI"
49203;"MOBILI PER SEDERSI "
49213;"TAVOLO VETRO"
49214;"TAVOLO VETRO"
49218;"TAVOLO VETRO"
49223;"MOBILI PER SEDERSI"
49250;"MOBILI PER SEDERSI"
49254;"MOBILI PER SEDERSI"
49268;"TAVOLO TEAK"
49272;"TAVOLO TEAK"
49295;"MOBILI PER SEDERSI"
49350;"MOBILI PER SEDERSI"
49300;"MOBILI PER SEDERSI IMBOTTITI"
49310;"MOBILI PER SEDERSI IMBOTTITI"
49315;"MOBILI PER SEDERSI IMBOTTITI"
49321;"TAVOLO VETRO"
49380;"MOBILI PER SEDERSI"
49371;"TAVOLO VETRO"
49361;"TAVOLO VETRO"
49365;"TAVOLO VETRO"
49610;"MOBILI PER SEDERSI"
49620;"MOBILI PER SEDERSI"
49640;"TAVOLO TEAK"
49680;"MOBILI PER SEDERSI"
49710;"MOBILI PER SEDERSI IMBOTTITI"
49740;"ALTRI MOBILI"
58010;"MOBILI PER SEDERSI"
58020;"TAVOLO TEAK"
58030;"TAVOLO TEAK"
58040;"TAVOLO TEAK"
58060;"TAVOLO VETRO"
58080;"MOBILI PER SEDERSI"
58120;"MOBILI PER SEDERSI"
00300;"MOBILI PER SEDERSI"
47632;"MOBILI PER SEDERSI"
31100;"MOBILI PER SEDERSI"
47638;"MOBILI PER SEDERSI"
47639;"MOBILI PER SEDERSI"
47600;"MOBILI PER SEDERSI"
47640;"MOBILI PER SEDERSI"
61600;"MOBILI PER SEDERSI"
47668;"MOBILI PER SEDERSI"
47669;"MOBILI PER SEDERSI"
47774;"ALTRI MOBILI"
47770;"ALTRI MOBILI"
47716;"TAVOLO TEAK"
47720;"TAVOLO TEAK"
47721;"TAVOLO TEAK"
02600;"TAVOLO TEAK"
47724;"TAVOLO TEAK"
61000;
30500;
47684;"MOBILI PER SEDERSI"
47685;"MOBILI PER SEDERSI"
47682;"MOBILI PER SEDERSI"
47690;"TAVOLO VETRO"
47691;"TAVOLO VETRO"
47695;"TAVOLO VETRO"
47696;"TAVOLO VETRO"
47634;"MOBILI PER SEDERSI"
47635;"MOBILI PER SEDERSI"
47636;"MOBILI PER SEDERSI"
47732;
47780;
47781;
47730;
47674;
62000;"TAVOLO TEAK"
62001;"TAVOLO TEAK"
62002;"TAVOLO TEAK"
31400;"MOBILI PER SEDERSI"
31401;"MOBILI PER SEDERSI"
47628;"MOBILI PER SEDERSI"
47627;"MOBILI PER SEDERSI"
47629;"MOBILI PER SEDERSI"
47740;"ALTRI MOBILI"
47738;"ALTRI MOBILI"
47739;"ALTRI MOBILI"
47742;"ALTRI MOBILI"
47741;"ALTRI MOBILI"
47743;"ALTRI MOBILI"
47618;"MOBILI PER SEDERSI"
47736;"TAVOLO VETRO"
70124;"TAVOLO VETRO"
70120;"TAVOLO VETRO"
70104;"TAVOLO VETRO"
70100;"TAVOLO VETRO"
47624;"MOBILI PER SEDERSI"
41700;"MOBILI PER SEDERSI"
41801;"ALTRI MOBILI"
41300;"ALTRI MOBILI"
10100;"MOBILI PER SEDERSI"
47616;"MOBILI PER SEDERSI"
47708;"TAVOLO VETRO"
47310;"MOBILI PER SEDERSI IMBOTTITI"
47320;"MOBILI PER SEDERSI IMBOTTITI"
47326;"MOBILI PER SEDERSI IMBOTTITI"
47332;"MOBILI PER SEDERSI IMBOTTITI"
47338;"MOBILI PER SEDERSI IMBOTTITI"
47344;"TAVOLO VETRO"
47321;"MOBILI PER SEDERSI IMBOTTITI"
47327;"MOBILI PER SEDERSI IMBOTTITI"
47333;"MOBILI PER SEDERSI IMBOTTITI"
47339;"MOBILI PER SEDERSI IMBOTTITI"
47345;"TAVOLO VETRO"
47355;"MOBILI PER SEDERSI IMBOTTITI"
47518;"TAVOLO VETRO"
47524;"MOBILI PER SEDERSI"
47530;"MOBILI PER SEDERSI IMBOTTITI"
47536;"MOBILI PER SEDERSI IMBOTTITI"
47304;"MOBILI PER SEDERSI IMBOTTITI"
47545;"MOBILI PER SEDERSI IMBOTTITI"
47546;"MOBILI PER SEDERSI IMBOTTITI"
47555;"TAVOLO VETRO"
47556;"TAVOLO VETRO"
47535;"MOBILI PER SEDERSI"
47534;"MOBILI PER SEDERSI"
47540;"TAVOLO VETRO"
47541;"TAVOLO VETRO"
47550;"TAVOLO VETRO"
47551;"TAVOLO VETRO"
47565;"MOBILI PER SEDERSI IMBOTTITI"
47568;"MOBILI PER SEDERSI IMBOTTITI"
47571;"MOBILI PER SEDERSI IMBOTTITI"
47574;"MOBILI PER SEDERSI IMBOTTITI"
47578;"TAVOLO VETRO"
47581;"TAVOLO VETRO"
47585;"TAVOLO VETRO"
47560;"MOBILI PER SEDERSI IMBOTTITI"
47561;"MOBILI PER SEDERSI IMBOTTITI"
52310;"MOBILI PER SEDERSI IMBOTTITI"
52320;"MOBILI PER SEDERSI IMBOTTITI"
52330;"MOBILI PER SEDERSI IMBOTTITI"
52280;"TAVOLO VETRO"
52290;"TAVOLO VETRO"
52270;"TAVOLO VETRO"
52250;"TAVOLO VETRO"
52340;"MOBILI PER SEDERSI IMBOTTITI"
52200;"MOBILI PER SEDERSI IMBOTTITI"
52220;"MOBILI PER SEDERSI IMBOTTITI"
52450;"MOBILI PER SEDERSI IMBOTTITI"
52460;"TAVOLO VETRO"
52500;"MOBILI PER SEDERSI IMBOTTITI"
52240;"MOBILI PER SEDERSI IMBOTTITI"
47586;"MOBILI PER SEDERSI IMBOTTITI"
47589;"MOBILI PER SEDERSI IMBOTTITI"
47592;"MOBILI PER SEDERSI IMBOTTITI"
47595;"MOBILI PER SEDERSI IMBOTTITI"
47598;
52550;"MOBILI PER SEDERSI IMBOTTITI"
52551;"MOBILI PER SEDERSI IMBOTTITI"
52560;"MOBILI PER SEDERSI IMBOTTITI"
52561;"MOBILI PER SEDERSI IMBOTTITI"
52580;"TAVOLO VETRO"
52581;"TAVOLO VETRO"
52590;"TAVOLO VETRO"
52591;"TAVOLO VETRO"
52570;"MOBILI PER SEDERSI IMBOTTITI"
52571;"MOBILI PER SEDERSI IMBOTTITI"
52600;"MOBILI PER SEDERSI IMBOTTITI"
52601;"MOBILI PER SEDERSI IMBOTTITI"
52610;"MOBILI PER SEDERSI IMBOTTITI"
52611;"MOBILI PER SEDERSI IMBOTTITI"
52620;"TAVOLO VETRO"
52621;"TAVOLO VETRO"
52630;"TAVOLO VETRO"
52631;"TAVOLO VETRO"
52640;"GAZEBO"
63190;"GAZEBO"
63230;"GAZEBO"
63240;"GAZEBO"
63110;"MOBILI PER SEDERSI"
63130;"ALTRI MOBILI"
63100;"MOBILI PER SEDERSI"
63150;"MOBILI PER SEDERSI"
