id;% ??;PREZZO LISTINO 2008;PREZZO LISTINO 2009;LISTINO 2010;% ??;LISTINO 2011;% ??;LISTINO 2012;IMMAGINE;TIPO MATERIALE O TESSUTO;BARCODE;NS. ART.;DESCRIZIONE;CODICE FORNITORE;DESCRIZIONE IN INGLESE;COLOUR ;FABRIC - GLASS;DIMENSIONI ARTICOLO Cm.;VOLUME IMBALLO m³;PZ. IMB.;DIMENSIONI IMBALLO Cm.;COSTO FOB 2012 USD;COSTO FOB 2012 EUR; CALCOLO 30 CBM ; CALCOLO 68 CBM ;Q.tà per container;;Trasp.;DAZI USD;PREZZO LISTINO 2011 DA ARROT.;COSTO EUR TRASPORTO COMPRESO 2011;PESO ART. Kg.;PESO IMBALLO Kg.;FORNITORE;COSTO FOB 2008 USD;COSTO FOB 2009 USD;COSTO FOB 2009 EUR;COSTO FOB 2010 USD;COSTO FOB 2010 EUR;a;b;c
1;0;;125,9;125,9;0;125,9;2,19;123,2;;;;47060;SEDIA LEVANTO COLOR BLACK METAL; GLA 6386-110 ;chair:alu. Frame with rattan cover without cushion wicker: 8 x 1.3 mm PE Wicker front leg: 38 x 15 x 1.2 mm back leg: dia. 25 x 1.2 mm seat tube: 30 x 15 x 1.1 mm;B 193 BLACK METAL;;48x69x80;1,6;32;110x61x236;28,9;20,94;;1.360;1300;;4,62;;123,19;25,56;;;GREAT;;32;21,62;28;20;;;MOBILI PER SEDERSI
2;-0,07;;139,7;139,7;0,07;139,6;3,71;134,6;;;;47065;SEDIA CON BRACCIOLI LEVANTO COLOR BLACK METAL ; GLA 6385-110 ;chair:alu. Frame with rattan cover without cushion wicker: 8 x 1.3 mm PE Wicker front leg: 38 x 15 x 1.2 mm back leg: dia. 25 x 1.2 mm seat tube: 30 x 15 x 1.1 mm;B 193 BLACK METAL;;57x69x80;1,9;32;110x72x236;31;22,46;;1.145;1100;;5,45;;134,57;27,92;;;GREAT;;35;23,65;30,5;21,79;;;MOBILI PER SEDERSI
3;-0,34;;260,9;260,9;0,35;260;-3,13;268,4;;;;47085;TAVOLO QUADRO LEVANTO COLOR BLACK METAL CM 90X90X72 H;20080625TABLE; table,aluminium frame PE rattan,tube 60*60*1.2mmwith 5mm milky white glass in top;B 193 BLACK METAL;TEMPERED MILKY WHITE GLASS ;90x90x72;0,1;1;92x11x92;61;46,86;;680;680;;8,82;3,66;268,37;55,68;;;GREAT;;67;45,27;58,5;44,4;;;TAVOLO VETRO
4;2,99;;331,5;331,5;-2,9;341,4;-6,41;364,8;;;;47090;TAVOLO RETTANGOLARE LEVANTO COLOR BLACK METAL CM 150X90X72 H;20080628TABLE2; table,aluminium frame PE rattan,tube 60*60*1.2mm with 5mm milky white glass in top;B 193 ;TEMPERED MILKY WHITE GLASS;150x90x72;0,15;1;152x11x92;79;60,68;;453;400;;15;4,74;364,78;75,68;;;GREAT;;80;54,05;72;54,81;;;TAVOLO VETRO
5;9,17;185,5;205,1;205,1;-8,4;223,9;-3,91;233;;STRUTTURA ALLUMINIO + TECNO RATTAN ;;47100;POLTRONCINA LEVANTO COLOR NATURALE;GLA-R40630 (K/D);Chair alu frame with rattan cover cushion in seat;B87;PILLOW: D23 WITH ZIPPER;58x59,5x86 ;0,13;1;88,5x26x54,50 ;52,6;38,12;;523;500;;12;;233,04;50,12;6,1;8,2;GREAT;38,5;47,8;32,3;44;31,43;;;MOBILI PER SEDERSI IMBOTTITI
6;9,17;185,5;205,1;205,1;-8,4;223,9;-3,91;233;;STRUTTURA ALLUMINIO + TECNO RATTAN ;;47101;POLTRONCINA LEVANTO COLOR BLACK METAL;GLA-R40630 (K/D);Chair alu frame with rattan cover cushion in seat;B 193 BLACK METAL ;PILLOW: D20 WITH ZIPPER;58x59,5x86 ;0,13;1;88,5x26x54,50;52,6;38,12;;523;500;;12;;233,04;50,12;6,1;8,2;GREAT;38,5;47,8;32,3;44;31,43;;;MOBILI PER SEDERSI IMBOTTITI
7;9,17;185,5;205,1;205,1;-8,4;223,9;-3,91;233;;STRUTTURA ALLUMINIO + TECNO RATTAN ;;47102;POLTRONCINA LEVANTO BIANCO GHIACCIO;GLA-R40630 (K/D);Chair alu frame with rattan cover cushion in seat;XB74 WHITE;PILLOW: D23 WITH ZIPPER;58x59,5x86 ;0,13;1;88,5x26x54,50 ;52,6;38,12;;523;500;;12;;233,04;50,12;6,1;8,2;GREAT;38,5;47,8;32,3;44;31,43;;;MOBILI PER SEDERSI IMBOTTITI
8;4,11;310,6;345,7;345,7;-3,95;359,9;-2,12;367,7;;STRUTTURA ALLUMINIO + TECNO RATTAN ;;47104;DIVANETTO LEVANTO COLOR NATURALE;LOVESEAT;Loveseat alu frame with rattan cover with cushion in seat;B87;PILLOW: D23 WITH ZIPPER;110x60,5x86 ;0,23;1;106x80x26 ;76;55,07;;296;250;;24;;367,69;79,07;9,8;12 Kg;GREAT;61;75;50,68;63;45;;;MOBILI PER SEDERSI IMBOTTITI
9;4,11;310,6;345,7;345,7;-3,95;359,9;-2,12;367,7;;STRUTTURA ALLUMINIO + TECNO RATTAN ;;47105;DIVANETTO LEVANTO COLOR BLACK METAL;LOVESEAT;Loveseat alu frame with rattan cover with cushion in seat;B 193 BLACK METAL;PILLOW: D20 WITH ZIPPER;110x60,5x86 ;0,23;1;106x80x26 ;76;55,07;;296;250;;24;;367,69;79,07;9,8;12;GREAT;61;75;50,68;63;45;;;MOBILI PER SEDERSI IMBOTTITI
10;4,11;310,6;345,7;345,7;-3,95;359,9;-2,12;367,7;;STRUTTURA ALLUMINIO + TECNO RATTAN ;;47106;DIVANETTO LEVANTO COLOR BIANCO GHIACCIO;LOVESEAT;Loveseat alu frame with rattan cover with cushion in seat;XB74 WHITE;PILLOW: D23 WITH ZIPPER;110x60,5x86 ;0,23;1;106x80x26 ;76;55,07;;296;250;;24;;367,69;79,07;9,8;12 Kg;GREAT;61;75;50,68;63;45;;;MOBILI PER SEDERSI IMBOTTITI
11;0,31;213,3;223,7;223,7;-0,31;224,4;-3,77;233,2;;STRUTTURA IN ALLUMINIO + VETRO + TECNORATTAN;;47108;TAVOLINO LEVANTO CON VETRO COLOR NATURALE;COFFEE TABLE;Coffe table alu frame with rattan cover with tempered black glass top;B87;BLACK TEMPERED GLASS;107x54xX46 ;0,095;1;98x13x71 ;52,5;40,33;;716;700;;8,57;3,15;233,24;48,9;8;10;GREAT;46,5;57;38,51;50;37,96;;;TAVOLO VETRO
12;0,31;213,3;223,7;223,7;-0,31;224,4;-3,77;233,2;;STRUTTURA IN ALLUMINIO + VETRO + TECNORATTAN;;47109;TAVOLINO LEVANTO CM 107X56X46 H COLOR BLACK METAL;COFFEE TABLE;Coffe table alu frame with rattan cover with black tempered glass top;B193 BLACK METAL;BLACK TEMPERED GLASS;107x54xX46 ;0,095;1;98x13x71 ;52,5;40,33;;716;700;;8,57;3,15;233,24;48,9;8;10;GREAT;46,5;57;38,51;50;37,96;;;TAVOLO VETRO
13;0,31;213,3;223,7;223,7;-0,31;224,4;-3,77;233,2;;STRUTTURA IN ALLUMINIO + VETRO + TECNORATTAN;;47110;TAVOLINO LEVANTO CM 107X56X46 H COLOR BIANCO GHIACCIO;COFFEE TABLE;Coffe table alu frame with rattan cover with tempered black glass top;XB74 WHITE;BLACK TEMPERED GLASS;107x54xX46 ;0,095;1;98x13x71 ;52,5;40,33;;716;700;;8,57;3,15;233,24;48,9;8;10;GREAT;46,5;57;38,51;50;37,96;;;TAVOLO VETRO
14;3,55;;526,7;526,7;-3,43;545,4;2,5;532,1;;;;47115;LETTINO LEVANTO COLOR BLACK METAL;GLA-6275-14 without wheels;aluminium frame,rattan cover with cushion without wheels ;B193 BLACK METAL;PILLOW: D20 WITH ZIPPER;210x86x44.5;1,206;4;211x88x65;114;82,61;;226;216;;27,78;;532,06;110,39;;;GREAT;;121,3;81,96;109;77,86;;;MOBILI PER SEDERSI IMBOTTITI
15;11,44;;363,6;363,6;-10,27;405,2;2,12;396,8;;;;47165;POLTRONA RECANATI COLOR NATURALE;GLA-6143-10;Aluminum frame KD wicker single sofa with seat cushion and back cushion; B108 ;PILLOW: LY-043 WITH ZIPPER SEE PICTURE BELOW ;76x67x67;0,206;1;73x69x41;86;62,32;;330;300;;20;;396,78;82,32;;;GREAT;;82,5;55,74;74;52,86;;;MOBILI PER SEDERSI IMBOTTITI
16;4,8;;554,4;554,4;-4,58;581;2,94;564,4;;;;47170;DIVANO 2 POSTI RECANATI COLOR NATURALE;GLA-6143-12;Aluminum frame KD wicker 2-seater sofa with seat cushion and back cushion,; B108 ;PILLOW: LY-043 WITH ZIPPER (SEE PICTURE BELOW);135x67x67;0,327;1;128x73x35;118;85,51;;208;190;;31,58;;564,36;117,09;;;GREAT;;124,2;83,92;109;77,86;;;MOBILI PER SEDERSI IMBOTTITI
17;9,93;;242,6;242,6;-9,04;266,7;-3,02;275;;;;47175;TAVOLINO RECANATI CON VETRO COLOR NATURALE CM 53X92X47 H;GLA-6143-2136;Aluminum frame KD wicker coffee table with 5MM tempered clear glass top; B108 ;Tempered clear glass;53x92x47;0,132;1;95x58x24;58;44,55;;515;480;;12,5;3,48;274,98;57,05;;;GREAT;;56,3;38,04;49;37,49;;;MOBILI PER SEDERSI IMBOTTITI
18;11,44;;363,6;363,6;-10,27;405,2;2,12;396,8;;;;47081;POLTRONA RECANATI COLOR BLACK METAL;GLA-6143-10;Aluminum frame KD wicker single sofa with seat cushion and back cushion;B193 BLACK METAL;PILLOW: D20 WITH ZIPPER;76x67x67;0,206;1;73x69x41;86;62,32;;330;300;;20;;396,78;82,32;;;GREAT;;82,5;55,74;74;52,86;;;MOBILI PER SEDERSI IMBOTTITI
19;4,8;;554,4;554,4;-4,58;581;2,94;564,4;;;;47086;DIVANO 2 POSTI RECANATI COLOR BLACK METAL;GLA-6143-12;Aluminum frame KD wicker 2-seater sofa with seat cushion and back cushion,;B193 BLACK METAL;PILLOW: D20 WITH ZIPPER;135x67x67;0,327;1;128x73x35;118;85,51;;208;190;;31,58;;564,36;117,09;;;GREAT;;124,2;83,92;109;77,86;;;MOBILI PER SEDERSI IMBOTTITI
20;;;;;;864,7;2,85;840,7;;;;47088;DIVANO 3 POSTI RECANATI COLOR NATURALE;GLA-6143-12 3 SEATER;Aluminum frame KD wicker 3-seater sofa with seat cushion and back cushion,; B108 (SEE PICTURE BELOW) ;PILLOW: LY-043 WITH ZIPPER (SEE PICTURE BELOW);194X67X67;0,48;1;187X73X35;177;128,26;;142;130;;46,15;;840,68;174,41;;;GREAT;;;;;0;;;MOBILI PER SEDERSI IMBOTTITI
21;9,93;;242,6;242,6;-9,04;266,7;-3,02;275;;;;47096;TAVOLINO RECANATI CON VETRO COLOR BLACK METAL CM 53X92X47 H;GLA-6143-2136;Aluminum frame KD wicker coffee table with 5MM tempered clear glass top;B193 BLACK METAL;Tempered clear glass;53x92x47;0,132;1;95x58x24;58;44,55;;515;480;;12,5;3,48;274,98;57,05;;;GREAT;;56,3;38,04;49;37,49;;;TAVOLO VETRO
22;;;;;;;;351,3;;;;47120;SET TIRRENO 2 POLTRONE CM. 73X66X66 H 1 DIVANO CM. 125X66X66 H 1 TAVOLINO CM. 100X50X34 H ;GLA-T008;single sofa aluminium frame,with textile cover with cushion in seat and back seat tube: 28.5*15*1.1mm ;TXT GRK-544 CUSHION WITH ZIPPER - FABRIC GRK 566;;;;2;74x67x132,5;60;43,48;;;204;;29,41;;351,33;72,89;;;GREAT;;;;;;;;MOBILI PER SEDERSI IMBOTTITI
23;;;;;;;;715,5;;;;;;GLA-T009;bench aluminium frame,with textile cover with cushion in seat and back seat tube: 28.5*15*1.1mm ;TXT GRK-544 CUSHION WITH ZIPPER - FABRIC GRK 566;;;;1;126x67x68;126;91,3;;;105;;57,14;;715,52;148,45;;;GREAT;;;;;;;;MOBILI PER SEDERSI IMBOTTITI
24;;;;;;;;;;;;;;GLA-T010;coffee table aluminium frame,with textile cover with 5 mmclear glass on top tube: 15*15*1.2mm ;TXT GRK-544;;;;;;;;;;;;;;;;;;GREAT;;;;;;;;MOBILI PER SEDERSI IMBOTTITI
25;11,71;134,1;140,9;140,9;-10,48;157,4;;;;STRUTTURA ALLUMINIO + TECNO RATTAN ;;48410;POLTRONCINA ERICE COLOR NERO;WL-7310A-W;twist Wicker chair (painted silver + transparent polyesther painting);BLACK TWIST WICKER (FIVE WIRES);;55,5x66,5x81 ;0,641;6;97x58x114 ;;0;;637;600;;10;;;10;4,18;??;WEILING;23,6;29,6;20;26,8;19,14;;;MOBILI PER SEDERSI
26;11,71;134,1;140,9;140,9;-10,48;157,4;;;;STRUTTURA ALLUMINIO + TECNO RATTAN ;;48411;POLTRONCINA ERICE COLOR BROWN;WL-7310A-W;twist Wicker chair (painted silver + transparent polyesther painting);MIXED COFFEE TWIST WICKER (FIVE WIRES);;55,5x66,5x81 ;0,641;6;97x58x114 ;;0;;637;600;;10;;;10;4,18;??;WEILING;23,6;29,6;20;26,8;19,14;;;MOBILI PER SEDERSI
27;11,71;134,1;140,9;140,9;-10,48;157,4;;;;STRUTTURA ALLUMINIO + TECNO RATTAN ;;48412;POLTRONCINA ERICE COLOR CORDA;WL-7310A-W;twist Wicker chair (painted silver + transparent polyesther painting);BROWN TWIST WICKER (FIVE WIRES);;55,5x66,5x81 ;0,641;6;97x58x114 ;;0;;637;600;;10;;;10;4,18;??;WEILING;23,6;29,6;20;26,8;19,14;;;MOBILI PER SEDERSI
28;10,11;348,1;365,8;365,8;-9,19;402,8;;;;STRUTTURA ALLUMINIO + TECNO RATTAN ;;48430;POLTRONCINA BACOLI CON CUSCINO COLOR BROWN;7C026A-W;twist Wicker chair with pillow with zipper (painted silver + transparent polyesther painting);MIXED COFFEE TWIST WICKER (FIVE WIRES) ;WP473 WITH ZIPPER;60,5x55x79,5 ;0,677;2;75x71x127 ;;0;;201;192;;31,25;;;31,25;;??;WEILING;51,5;59,7;40,34;52;37,14;;;MOBILI PER SEDERSI
