id;var2;LIST2008;LIST2009;LIST2010;var1;LIST2011;var0;LIST2012;IMG;tipomattess;BARCODE;codice;DESCRIZIONE;codcli;DESCRIZIONE IN INGLESE;COLOUR ;FABRICGLASS;dimCm.;VolM3;pzximb;imballoCm;for2012usd;fob2012eur; 30cbm ; 68cbm ;qxc;;Trasp.;DAZI USD;list2011calc;compreso2011;pesoKg;pesoimgKg;FORNITORE;fob2008USD;fob2009USD;fob2009EUR;fob2010USD;fob2010EUR;inctrasp
1;0;;125,9;125,9;0;125,9;-1,95;128,4;;;;47060;SEDIA LEVANTO COLOR BLACK METAL;GLA 6386-110;chair:alu. Frame with rattan cover without cushion wicker: 8 x 1.3 mm PE Wicker front leg: 38 x 15 x 1.2 mm back leg: dia. 25 x 1.2 mm seat tube: 30 x 15 x 1.1 mm;B 193 BLACK METAL;;48x69x80;1,6;32;110x61x236;28,9;21,25;;1360;1300;;5,38;;128,38;26,63;;;GREAT;;32;21,62;28;20;20,22
2;-0,07;;139,7;139,7;0,07;139,6;-0,64;140,5;;;;47065;SEDIA CON BRACCIOLI LEVANTO COLOR BLACK METAL ;GLA 6385-110;chair:alu. Frame with rattan cover without cushion wicker: 8 x 1.3 mm PE Wicker front leg: 38 x 15 x 1.2 mm back leg: dia. 25 x 1.2 mm seat tube: 30 x 15 x 1.1 mm;B 193 BLACK METAL;;57x69x80;1,9;32;110x72x236;31;22,79;;1145;1100;;6,36;;140,54;29,16;;;GREAT;;35;23,65;30,5;21,79;21,82
3;-0,92;;260,9;260,9;0,93;258,5;-2,75;265,8;;;;47085;TAVOLO QUADRO LEVANTO COLOR BLACK METAL CM 90X90X72 H;20080625TABLE; table,aluminium frame PE rattan,tube 60*60*1.2mmwith 5mm milky white glass in top;B 193 BLACK METAL;TEMPERED MILKY WHITE GLASS ;90x90x72;0,1;1;92x11x92;61;44,85;;680;680;;10,29;;265,81;55,15;;;GREAT;;67;45,27;58,5;41,79;18,67
4;-45,35;;489,8;489,8;82,97;267,7;546,62;41,4;;STRUTTURA ALLUMINIO + TEAK;;;TAVOLO QUADRO ALASSIO CM. 90X90X75;GT-27071T; Table Aluminium frame & full PE wicker cover, KD;1044 (HIGH QUALITY);GLASS TOP;90x90x75;0,1;1;91x91x8;;0;;680;680;;10,29;;41,38;10,29;;;OTION;;169,4;114,46;140,3;100,21;100
5;2,99;;331,5;331,5;-2,9;341,4;-6,29;364,3;;;;47090;TAVOLO RETTANGOLARE LEVANTO COLOR BLACK METAL CM 150X90X72 H;20080628TABLE2; table,aluminium frame PE rattan,tube 60*60*1.2mm with 5mm milky white glass in top;B 193 ;TEMPERED MILKY WHITE GLASS;150x90x72;0,15;1;152x11x92;79;58,09;;453;400;;17,5;;364,34;75,59;;;GREAT;;80;54,05;72;51,43;23,15
6;9,17;185,5;205,1;205,1;-8,4;223,9;-8,57;244,9;;STRUTTURA ALLUMINIO + TECNO RATTAN ;;47100;POLTRONCINA LEVANTO COLOR NATURALE;GLA-R40630 (K/D);Chair alu frame with rattan cover cushion in seat;B87;PILLOW: D23 WITH ZIPPER;58x59,5x86 ;0,13;1;88,5x26x54,50 ;52,6;38,68;;523;500;;14;;244,95;52,68;6,1;8,2;GREAT;38,5;47,8;32,3;44;31,43;26,58
7;9,17;185,5;205,1;205,1;-8,4;223,9;-8,57;244,9;;STRUTTURA ALLUMINIO + TECNO RATTAN ;;47101;POLTRONCINA LEVANTO COLOR BLACK METAL;GLA-R40630 (K/D);Chair alu frame with rattan cover cushion in seat;B 193 BLACK METAL ;PILLOW: D20 WITH ZIPPER;58x59,5x86 ;0,13;1;88,5x26x54,50;52,6;38,68;;523;500;;14;;244,95;52,68;6,1;8,2;GREAT;38,5;47,8;32,3;44;31,43;26,58
8;9,17;185,5;205,1;205,1;-8,4;223,9;-8,57;244,9;;STRUTTURA ALLUMINIO + TECNO RATTAN ;;47102;POLTRONCINA LEVANTO BIANCO GHIACCIO;GLA-R40630 (K/D);Chair alu frame with rattan cover cushion in seat;XB74 WHITE;PILLOW: D23 WITH ZIPPER;58x59,5x86 ;0,13;1;88,5x26x54,50 ;52,6;38,68;;523;500;;14;;244,95;52,68;6,1;8,2;GREAT;38,5;47,8;32,3;44;31,43;26,58
9;4,11;310,6;345,7;345,7;-3,95;359,9;-7,74;390,1;;STRUTTURA ALLUMINIO + TECNO RATTAN ;;47104;DIVANETTO LEVANTO COLOR NATURALE;LOVESEAT;Loveseat alu frame with rattan cover with cushion in seat;B87;PILLOW: D23 WITH ZIPPER;110x60,5x86 ;0,23;1;106x80x26 ;76;55,88;;296;250;;28;;390,05;83,88;9,8;12;GREAT;61;75;50,68;63;45;33,38
10;4,11;310,6;345,7;345,7;-3,95;359,9;-7,74;390,1;;STRUTTURA ALLUMINIO + TECNO RATTAN ;;47105;DIVANETTO LEVANTO COLOR BLACK METAL;LOVESEAT;Loveseat alu frame with rattan cover with cushion in seat;B 193 BLACK METAL;PILLOW: D20 WITH ZIPPER;110x60,5x86 ;0,23;1;106x80x26 ;76;55,88;;296;250;;28;;390,05;83,88;9,8;12;GREAT;61;75;50,68;63;45;33,38
11;4,11;310,6;345,7;345,7;-3,95;359,9;-7,74;390,1;;STRUTTURA ALLUMINIO + TECNO RATTAN ;;47106;DIVANETTO LEVANTO COLOR BIANCO GHIACCIO;LOVESEAT;Loveseat alu frame with rattan cover with cushion in seat;XB74 WHITE;PILLOW: D23 WITH ZIPPER;110x60,5x86 ;0,23;1;106x80x26 ;76;55,88;;296;250;;28;;390,05;83,88;9,8;12;GREAT;61;75;50,68;63;45;33,38
12;0,31;213,3;223,7;223,7;-0,31;224,4;-3,19;231,8;;STRUTTURA IN ALLUMINIO + VETRO + TECNORATTAN;;47108;TAVOLINO LEVANTO CON VETRO COLOR NATURALE;COFFEE TABLE;Coffe table alu frame with rattan cover with tempered black glass top;B87;BLACK TEMPERED GLASS;107x54xX46 ;0,095;1;98x13x71 ;52,5;38,6;;716;700;;10;;231,84;48,6;8;10;GREAT;46,5;57;38,51;50;35,71;20,57
13;0,31;213,3;223,7;223,7;-0,31;224,4;-3,19;231,8;;STRUTTURA IN ALLUMINIO + VETRO + TECNORATTAN;;47109;TAVOLINO LEVANTO CM 107X56X46 H COLOR BLACK METAL;COFFEE TABLE;Coffe table alu frame with rattan cover with black tempered glass top;B193 BLACK METAL;BLACK TEMPERED GLASS;107x54xX46 ;0,095;1;98x13x71 ;52,5;38,6;;716;700;;10;;231,84;48,6;8;10;GREAT;46,5;57;38,51;50;35,71;20,57
14;0,31;213,3;223,7;223,7;-0,31;224,4;-3,19;231,8;;STRUTTURA IN ALLUMINIO + VETRO + TECNORATTAN;;47110;TAVOLINO LEVANTO CM 107X56X46 H COLOR BIANCO GHIACCIO;COFFEE TABLE;Coffe table alu frame with rattan cover with tempered black glass top;XB74 WHITE;BLACK TEMPERED GLASS;107x54xX46 ;0,095;1;98x13x71 ;52,5;38,6;;716;700;;10;;231,84;48,6;8;10;GREAT;46,5;57;38,51;50;35,71;20,57
15;3,55;;526,7;526,7;-3,43;545,4;-2,64;560,2;;;;47115;LETTINO LEVANTO COLOR BLACK METAL;GLA-6275-14 without wheels;aluminium frame,rattan cover with cushion without wheels ;B193 BLACK METAL;PILLOW: D20 WITH ZIPPER;210x86x44.5;1,206;4;211x88x65;114;83,82;;226;216;;32,41;;560,23;116,23;;;GREAT;;121,3;81,96;109;77,86;27,88
16;11,44;;363,6;363,6;-10,27;405,2;-2,9;417,3;;;;47165;POLTRONA RECANATI COLOR NATURALE;GLA-6143-10;Aluminum frame KD wicker single sofa with seat cushion and back cushion; B108 ;PILLOW: LY-043 WITH ZIPPER SEE PICTURE BELOW ;76x67x67;0,206;1;73x69x41;86;63,24;;330;300;;23,33;;417,26;86,57;;;GREAT;;82,5;55,74;74;52,86;26,95
17;4,8;;554,4;554,4;-4,58;581;-2,48;595,8;;;;47170;DIVANO 2 POSTI RECANATI COLOR NATURALE;GLA-6143-12;Aluminum frame KD wicker 2-seater sofa with seat cushion and back cushion,; B108 ;PILLOW: LY-043 WITH ZIPPER (SEE PICTURE BELOW);135x67x67;0,327;1;128x73x35;118;86,76;;208;190;;36,84;;595,78;123,61;;;GREAT;;124,2;83,92;109;77,86;29,81
18; ;;;;;864,7;-2,49;886,8;;;;47088;DIVANO 3 POSTI RECANATI COLOR NATURALE;GLA-6143-12 3 SEATER;Aluminum frame KD wicker 3-seater sofa with seat cushion and back cushion,; B108 (SEE PICTURE BELOW) ;PILLOW: LY-043 WITH ZIPPER (SEE PICTURE BELOW);194X67X67;0,48;1;187X73X35;177;130,15;;142;130;;53,85;;886,85;183,99;;;GREAT;;;;;0;29,27
19;9,93;;242,6;242,6;-9,04;266,7;-3,33;275,9;;;;47175;TAVOLINO RECANATI CON VETRO COLOR NATURALE CM 53X92X47 H;GLA-6143-2136;Aluminum frame KD wicker coffee table with 5MM tempered clear glass top; B108 ;Tempered clear glass;53x92x47;0,132;1;95x58x24;58;42,65;;515;480;;14,58;;275,85;57,23;;;GREAT;;56,3;38,04;49;35;25,48
20;11,44;;363,6;363,6;-10,27;405,2;-2,9;417,3;;;;47081;POLTRONA RECANATI COLOR BLACK METAL;GLA-6143-10;Aluminum frame KD wicker single sofa with seat cushion and back cushion;B193 BLACK METAL;PILLOW: D20 WITH ZIPPER;76x67x67;0,206;1;73x69x41;86;63,24;;330;300;;23,33;;417,26;86,57;;;GREAT;;82,5;55,74;74;52,86;26,95
21;4,8;;554,4;554,4;-4,58;581;-2,48;595,8;;;;47086;DIVANO 2 POSTI RECANATI COLOR BLACK METAL;GLA-6143-12;Aluminum frame KD wicker 2-seater sofa with seat cushion and back cushion,;B193 BLACK METAL;PILLOW: D20 WITH ZIPPER;135x67x67;0,327;1;128x73x35;118;86,76;;208;190;;36,84;;595,78;123,61;;;GREAT;;124,2;83,92;109;77,86;29,81
22;9,93;;242,6;242,6;-9,04;266,7;-3,33;275,9;;;;47096;TAVOLINO RECANATI CON VETRO COLOR BLACK METAL CM 53X92X47 H;GLA-6143-2136;Aluminum frame KD wicker coffee table with 5MM tempered clear glass top;B193 BLACK METAL;Tempered clear glass;53x92x47;0,132;1;95x58x24;58;42,65;;515;480;;14,58;;275,85;57,23;;;GREAT;;56,3;38,04;49;35;25,48
23;11,71;134,1;140,9;140,9;-10,48;157,4;187,23;54,8;;STRUTTURA ALLUMINIO + TECNO RATTAN ;;48410;POLTRONCINA ERICE COLOR NERO;WL-7310A-W;twist Wicker chair (painted silver + transparent polyesther painting);BLACK TWIST WICKER (FIVE WIRES);;55,5x66,5x81 ;0,641;6;97x58x114 ;;0;;637;600;;11,67;;54,78;11,67;4,18;;WEILING;23,6;29,6;20;26,8;19,14;100
24;11,71;134,1;140,9;140,9;-10,48;157,4;187,23;54,8;;STRUTTURA ALLUMINIO + TECNO RATTAN ;;48411;POLTRONCINA ERICE COLOR BROWN;WL-7310A-W;twist Wicker chair (painted silver + transparent polyesther painting);MIXED COFFEE TWIST WICKER (FIVE WIRES);;55,5x66,5x81 ;0,641;6;97x58x114 ;;0;;637;600;;11,67;;54,78;11,67;4,18;;WEILING;23,6;29,6;20;26,8;19,14;100
25;11,71;134,1;140,9;140,9;-10,48;157,4;187,23;54,8;;STRUTTURA ALLUMINIO + TECNO RATTAN ;;48412;POLTRONCINA ERICE COLOR CORDA;WL-7310A-W;twist Wicker chair (painted silver + transparent polyesther painting);BROWN TWIST WICKER (FIVE WIRES);;55,5x66,5x81 ;0,641;6;97x58x114 ;;0;;637;600;;11,67;;54,78;11,67;4,18;;WEILING;23,6;29,6;20;26,8;19,14;100
26;10,11;348,1;365,8;365,8;-9,19;402,8;116,21;186,3;;STRUTTURA ALLUMINIO + TECNO RATTAN ;;48430;POLTRONCINA BACOLI CON CUSCINO COLOR BROWN;7C026A-W;twist Wicker chair with pillow with zipper (painted silver + transparent polyesther painting);MIXED COFFEE TWIST WICKER (FIVE WIRES) ;WP473 WITH ZIPPER;60,5x55x79,5 ;0,677;2;75x71x127 ;;0;;201;192;;36,46;;186,3;36,46;;;WEILING;51,5;59,7;40,34;52;37,14;100
