Room,Room Capacity,Building
Laboratorio Estetica,30,Via Callegari
Laboratorio Acconciatura,30,Via Callegari
Informatica 1,30,Via Callegari
Informatica 2,30,Via Callegari
Palestra,30,Via Callegari
Laboratorio Elettricisti,30,Via Callegari
Aula Domotica,30,Via Callegari
aula IV A,30,GALAB
aula IV B,30,GALAB
informatica Galab,30,GALAB
IA,30,Via Callegari
IB,30,Via Callegari
IC,30,Via Callegari
IE,30,Via Callegari
IIE,30,Via Callegari
IIIE,30,Via Callegari
IIA,30,Via Callegari
IIIA,30,Via Callegari
IIB,30,Via Callegari
IIIB,30,Via Callegari
IIC,30,Via Callegari
IIIC,30,Via Callegari
